player,player_id,position,team_name,2025 Team,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,rank_player_game_count,rank_avoided_tackles,rank_drops,rank_first_downs,rank_fumbles,rank_grades_hands_fumble,rank_grades_offense,rank_grades_pass_block,rank_grades_pass_route,rank_longest,rank_penalties,rank_receptions,rank_routes,rank_targets,rank_touchdowns,rank_yards,rank_yprr,rank_declined_penalties
Rashod Dubinion,157020,HB,APP STATE,Appalachian State,3,70,18,4,20.2,79,0,391,1,1,18,263,93.9,10,22,108,3,45,50.1,79.1,82.4,0,68.1,48.8,84.3,60,26,0,34,6,93,79,0,0,10,76,2,391,263,3.76,5.6,0.37,25,21,7,38,2,4,1027,146,243,748,216,151,153,17,103,80,3,499,1
Bryson Washington,174649,HB,BAYLOR,Baylor,3,66,9,4,28.6,87,0,304,0,0,9,180,34.1,8,21,118,1,21,65.3,67,81.4,0,48.8,55.7,69.4,59.8,31,0,24,6,74,69,0,0,9,72,4,304,180,2.73,4.6,0.32,41,21,63,165,4,69,868,588,362,623,163,151,153,44,133,14,13,513,1
Cam Cook,173133,HB,JVILLE ST,Jacksonville State,3,66,24,7,38.2,149,0,390,0,1,24,260,138.7,17,21,196,1,15,66.1,75.5,81.9,0,76.9,62.7,75.7,60.6,31,0,43,5,56,103,0,0,6,71,2,390,260,3.94,5.9,0.77,50,21,2,165,4,69,813,227,96,300,163,151,184,97,200,80,4,383,1
Hollywood Smothers,173719,HB,NC STATE,North Carolina State,3,63,20,6,44.7,170,0,380,0,5,20,286,155.5,11,15,248,0,29,84,80.7,81.3,0,22.1,65.3,84.1,66.9,57,0,42,10,52,82,0,0,11,73,3,380,286,4.54,6,0.81,31,21,5,165,29,207,2,114,470,236,53,151,55,109,89,39,6,365,1
Kentrel Bullock,124129,HB,S ALABAMA,South Alabama,3,63,16,1,6.9,20,0,291,1,1,16,187,78.8,9,15,288,1,43,63.9,72.1,79.4,0,28.2,39.7,74.6,64.6,20,0,-2,1,30,72,0,0,2,64,3,291,187,2.97,4.6,-0.07,20,21,11,38,29,69,898,346,434,784,318,151,447,268,407,39,18,1145,1
Kewan Lacy,190221,HB,OLE MISS,Mississippi,3,61,24,5,45.5,132,0,290,0,1,24,208,129.2,6,21,226,0,32,83.7,79,81.5,0,71.9,61.2,79.3,66,42,0,44,5,53,93,0,0,5,66,5,290,208,3.41,4.8,0.83,29,21,2,165,4,207,3,151,184,341,113,151,184,107,234,6,20,359,1
Devin Mockobee,145111,HB,PURDUE,Purdue,3,58,14,1,7.4,17,0,230,0,2,14,194,86.3,7,17,273,1,37,62.6,73.6,81.1,0,41.2,67.6,74.3,59.2,17,0,66,4,49,64,0,0,4,62,3,230,194,3.34,4,1.35,21,21,16,165,14,69,910,304,389,187,365,151,219,121,273,39,52,246,1
Ahmad Hardy,190013,HB,MISSOURI,Missouri,3,58,28,7,50.3,233,0,463,0,0,28,340,278.2,14,25,229,1,23,61.8,90.7,81.1,0,58.3,54.9,90.1,58,71,0,2,1,26,62,0,0,1,59,5,463,340,5.86,8,0.08,35,21,1,165,1,69,988,17,322,655,26,151,447,300,488,6,2,557,1
Micah Ford,188865,HB,STANFORD,Stanford,3,55,22,4,47.8,139,0,291,1,3,22,282,221,6,16,300,0,25,82.9,80.6,79.6,0,61,48.8,81.5,60,75,0,9,3,25,56,0,0,6,58,2,291,282,5.13,5.3,0.36,30,21,4,38,23,207,4,117,307,748,12,151,272,315,200,80,18,502,1
Carson Hansen,174669,HB,IOWA STATE,Iowa State,4,54,11,3,27,68,0,252,0,4,11,175,79.7,7,11,193,1,29,61.9,67.6,81.3,0,78.1,67,66.7,58.4,38,0,46,7,67,72,0,0,8,61,0,252,175,3.24,4.7,0.69,25,1,35,165,70,69,987,555,73,200,129,151,117,62,152,453,38,405,1
